"knihy_id","isbn","nazev","pocet_stran","rok_vydani","misto_vydani","nakladatel","vydani","druhy_id","jazyky_id","autor","edice"
"72","ISBN 80-85424-58-4","BIOS IBM PC : Příručka programátora","243","1992","Praha","Grada","","1","1","Boukal, Vítězslav","Nestůjte za dveřmi"
"74","ISBN 80-7169-949-7","XML : kompletní průvodce","537","2000","Praha","Grada Publishing","1","1","1","Bradley, Neil",""
"75","ISBN 80-7302-050-5","Linux : praktický průvodce","312","2003","Brno","Konvoj","2","1","1","Brandejs, Michal",""
"77","ISBN 80-7169-170-4","UNIX - Linux : Praktický průvodce","340","1996","Praha","Grada Publishing","1","1","1","Brandejs, Michal",""
"78","ISBN 0-201-40375-7","Prolog Programming for Artificial Intelligence","21","2001","Harlow","Addison Wesley Publishing","3","1","1","Bratko, Ivan",""
"79","ISBN 80-7169-684-6","Delphi 4 : Kompletní kapesní průvodce","598","1999","Praha","Grada Publishing","1","1","1","Bráza, Jiří",""
"83","ISBN 0-7645-4590-6","Lotus Notes and Domino 5 Bible","48","1999","Chicagi","IDG Books","","1","2","Brown, Kyle -- Brown, Kenyon",""
"84","ISBN 80-7226-352-8","Microsoft Excel 2000 pro manažery a ekonomy","395","2003","Brno","Computer Press","2","1","1","Brož, Milan",""
"85","ISBN 80-85896-26-5","Microsoft Excel 5.0 CZ : Základní příručka uživatele","218","1995","Praha","Computer Press","3","1","1","Brož, Milan",""
"87","ISBN 80-7226-008-1","Microsoft Excel 97 CZ : Podrobná příručka uživatele","18","1997","Praha","Computer Press","1","1","1","Brož, Milan -- Brožová, Petra",""
"89","ISBN 80-251-0230-0","Microsoft Office Excel 2003: podrobná uživatelská příručka","384","2004","Brno","Computer Press","1","1","1","Brož, Milan",""
"92","ISBN 80-7226-270-X","Mistrovství v Microsoft Excel 2000 : kniha pro pokročilé uživatele Excelu a ty, kdo se jimi chtějí stát","727","2000","Praha","Computer Press","1","1","1","Brož, Milan","Kancelář profi"
"94","ISBN 80-251-0164-9","Tvorba WWW stránek pro úplné začátečníky","149","2004","Brno","Computer Press","5","1","1","Broža, Petr",""
"95","ISBN 978-3-540-72078-2","The adaptive web : methods and strategies of web personalization","762","2007","Berlin","Springer","","1","1","Brusilovsky, Peter",""
"99","ISBN 0-471-36089-9","Virtual reality technology","444","2003","Hoboken","Wiley-Interscience","2","1","2","Burdea, Grigore -- Coiffet, Philippe",""
"100","ISBN 80-86324-46-X","Nová generace webových technologií : informace v 21. století","264","2005","Praha","VOX","1","1","1","Bureš, Miroslav -- Morávek, Adam","Webové technologie"
"101","ISBN 978-80-247-1978-8","Znalostní management a proces jeho zavádění : průvodce pro praxi","212","2007","Praha","Grada","1","1","1","Bureš, Vladimír","Management v informační společnosti"
"102","ISBN 80-7226-655-1","Klíčoví zákazníci a péče o ně: koncepce, metody a postupy, jak utvářet a řídit vztahy s klíčovými zákazníky","382","2002","Praha","Computer Press","1","1","1","Burnett, Ken","Business books"
"103","ISBN 0-19-823365-5","Principles of Geographical Information Systems","333","1998","Oxford","Oxford University Press","1","1","2","Burrough, Peter A. -- Mac Donnell, Rachael A.",""
"107","ISBN 80-85896-42-7","Mistrovství v Delphi - 2. díl","5","1995","Praha","Computer Press","1","1","1","Cantú, Marco",""
"108","ISBN 80-85896-75-3","Mistrovství v Delphi 2 - pro Windows 95/NT","46","1996","Praha","Computer Press","1","1","1","Cantú, Marco",""
"109","ISBN 80-247-0666-0","Workflow : nástroj manažera pro řízení podnikových procesů","155","2003","Praha","Grada Publishing","2","1","1","Carda, Antonín -- Kunstová, Renáta","Management v informační společnosti"
"110","ISBN 1-55860-808-7","HCI models, theories, and frameworks : toward a multidisciplinary science","551","2003","Amsterdam","Morgan Kaufmann","","1","2","Carroll, John M",""
"111","ISBN 1-58720-100-3","LAN switching first-step","384","2005","Indianapolis, IN","Cisco Press","","1","2","Castelli, Matthew",""
"116","ISBN 80-85424-69-X","Modelovanie a simulácia na PC : Prax a príklady v jazyku Turbo Pascal 6.0","187","1992","Praha","Grada","","1","9","Cingel, Viktor",""
"118","ISBN 80-251-0721-3","Use Cases : jak efektivně modelovat aplikace","262","2005","Brno","CP Books","1","1","1","Cockburn, Alistair",""
"121","ISBN 0-256-13812-5","Macroeconomics","23","1995","Chicago","Irwin","2","1","2","Colander, David C.",""
"123","ISBN 0-948549-88-2","Dictionary of Information Technology","383","1997","Teddington","Peter Collin Publishing","2","1","2","Collin, S. M. H.",""
"124","ISBN 0-8144-0593-2","Corporate portals : revolutionizing information access to increase productivity and drive the bottom line","394","2001","New York","Amacom","","1","2","Collins, Heidi",""
"125","ISBN 80-251-0760-4","Knowledge management: praktický management znalostí z prostředí předních světových učících seorganizací","236","2005","Brno","Computer Press","1","1","1","Collison, Chris -- Parcell, Geoff","Praxe manažera"
"128","ISBN 0-596-00173-8","Perl best practices","517","2005","Sebastopol","O\'Reilly","1","1","2","Conway, Damian",""
"129","ISBN 80-7169-641-2","Marketingové plánování : praktická příručka manažera","230","1999","Praha","Grada Publishing","1","1","1","Cooper, John -- Lane, Peter",""
"130","ISBN 80-85896-74-5","Microsoft Visual Basic 4.0 : Programátorská dílna","21","1996","Praha","Computer Press","1","1","1","Craig, John Clark",""
"133","ISBN 978-80-251-1705-7","Mistrovství v CSS : pokročilé techniky pro webové designéry a vývojáře","409","2007","Brno","Computer Press","1","1","1","Croft, Jeff -- Lloyd, R. Ian",""
"136","ISBN 80-7226-231-6","Komprimace dat : Principy a praxe","8","2000","Praha","Computer Press","1","1","1","Čapek, Jan -- Fabian, Peter","Internet"
"138","ISBN 80-85828-27-8","Norton Commander 5.0","127","1995","České Budějovice","Kopp","1","1","1","Černý, Vladislav -- Kvoch, Martin",""
"139","ISBN 80-7232-015-7","Slovník počítačových zkratek","173","1998","České Budějovice","Kopp","2","1","1","Černý, Vladislav",""
"143","ISBN 0-7506-7864-X","Knowledge management in theory and practise","356","2005","Boston","Elsevier","","1","2","Dalkir, Kimiz",""
"144","ISBN 80-86815-47-1","AJAX a PHP : tvoříme interaktivní webové aplikace profesionálně","320","2006","Brno","Zoner Press","1","1","1","Darie, Cristian a kol.","Encyklopedie webdesignera"
"148","ISBN 0-201-30978-5","Foundation for Object/Relational Databases","21","1998","Reading","Addison-Wesley","","1","2","Date, C.J. -- Darwen, Hugh",""
"149","ISBN 0-534-18954-7","Business Systems Analysis and Design","18","1994","London","International Thomson Computer Press","","1","2","Davis, William S.",""
"151","ISBN 1555425682","Tools for teaching","429","1993","San Francisco","Jossey-Bass Publishers","1","1","2","Davis, Barbara Gross","The Jossey-Bass higher and adult education series"
"152","ISBN 80-7169-540-8","Visual J++ : Tvorba dokonalých WWW stránek. Podrobný průvodce začínajícího uživatele","307","1998","Praha","Grada Publishing","1","1","1","Davis, Stephen R.",""
"156","ISBN 0-13-032364-0","e-Business and e-Commerce for Managers","37","2000","Upper Saddle River","Prentice Hall","","1","2","Deitel, H.M. -- Deitel, P.J.",""
"157","ISBN 1-58705-285-7","Network securit fundamentals","","2006","Indianapolis","","","2","2","DeLaet, Gert -- Schauwers, Gert",""
"162","ISBN 80-7169-479-7","Ochrana dat v informačních systémech","286","1998","Praha","Grada Publishing","1","1","1","Dobda, Luboš",""
"164","ISBN 80-247-0401-3","Řízení vztahů se zákazníky : procesy, pracovníci, technologie","161","2002","Praha","Grada Publishing","1","1","1","Dohnal, Jan","MIS -Management v informační společnosti"
"165","ISBN 80-247-1338-1","Pokročilé metody manažerského rozhodování: pro manažery, specialisty, podnikatele a studenty: konkrétní příklady využití metod v praxi","166","2005","Praha","Grada Publishing","1","1","1","Dostál, Petr -- Rais, Karel","Expert"
"169","ISBN 80-86419-71-1","Řízení projektu informačních systémů","162","2004","Praha","Professional Publishing","1","1","1","Doucek, Petr",""
"171","ISBN 80-7226-521-0","Logistika : procesy a jejich řízení","334","2003","Brno","Computer Press","1","1","1","Drahotský, Ivo -- Řezníček, Bohumil","Praxe manažera"
"172","ISBN 80-7079-740-1","Objektově orientované metodiky a technologie : 1. díl, části modely a analýza","193","1997","Praha","VŠE","1","1","1","Drbal, Pavel",""
"175","ISBN 80-251-0130-4","DHCP. Příručka administrátora: [kompletní návod pro konfiguraci a správu DHCP služeb, klientů a serveru]","490","2004","Brno","Computer Press","1","1","1","Droms, Ralph -- Lemon, Ted",""
"176","ISBN 80-85603-02-0","Efektivní vedoucí","133","1992","Praha","Management Press","2","1","1","Drucker, Peter F.",""
"177","ISBN 80-7261-021-X","Výzvy managementu pro 21. století","187","2000","Praha","Management Press","1","1","1","Drucker, Peter F.",""
"178","ISBN 80-7169-281-6","Objektové modely podniku","199","1996","Praha","Grada Publishing","1","1","1","Duben, Jiří",""
"179","ISBN 0-19-453333-6","New Success at First Certificate : Workbook","96","1997","Oxford","Oxford University Press","","1","2","Duckworth, Michael -- Gude, Kathy",""
"182","ISBN 978-80-251-1881-8","DTP a předtisková příprava : kompletní průvodce od grafického návrhu po profesionální tisk","288","2008","Brno","Computer Press","1","1","1","Dvořáková, Zdenka",""
"183","ISBN 0-13-551656-0","Management Strategies for Information Technology","8","1989","Harlow","Prentice Hall","1","1","2","Earl, Michael J.",""
"188","ISBN 0-596-00223-8","SVG essentials","335","2002","Sebastopol, California","O\'Reilly","","1","2","Eisenberg, David J.",""
"192","ISBN 80-86817-05-9","Anglicko-český ekonomický výkladový slovník","629","2004","Praha","Sobotáles","1","1","1","Elman, Jiří",""
"194","ISBN 0-471-29551-5","Business Modeling with UML : Business Patterns at Work","19","2000","New York","John Wiley & Sons","","1","2","Eriksson, Hans-erik -- Penker, Magnus",""
"195","ISBN 0-471-19161-2","UML Toolkit","17","1998","New York","John Wiley & Sons","","1","2","Eriksson, Hans-erik -- Penker, Magnus",""
"196","ISBN 0-13-142898-5","Service-oriented architecture : a field guide to integrating XML and Web services","536","2004","Upper Saddle River","Prentice Hall Professional Technical Reference","","1","2","Erl, Thomas",""
"198","ISBN 0-7356-1801-1","Applied XML programming for Microsoft. NET","696","2002","Washington","Microsoft Press","","1","2","Esposito, Dino",""
"199","ISBN 80-247-0775-6","XML : efektivní programování pro .NET","596","2004","Praha","Grada","1","1","1","Esposito, Dino","Moderní programování"
"200","ISBN 1-56830-095-6","Net. Speak - The Internet Dictionary","203","1994","Indianapolis","Hayden Books","","1","2","Fahey, Tom",""
"204","ISBN 80-7226-725-6","Mistrovství v Microsoft Access 2002 : Access 2002 do nejmenších podrobností a do posledního detailu","604","2002","Praha","Computer Press","1","1","1","Feddema, Helen Bell","Databáze"
"205","ISBN 80-85896-67-2","Encyklopedie počítačových sítí","6","1996","Praha","Computer Press","1","1","1","Feibel, Werner",""
"207","ISBN 0-13-084846-8","Exploring E-commerce, Global E-business, and E-societies","18","2000","Upper Saddle River","Prentice Hall","","1","2","Fellenstein, Craig -- Wood, Ron",""
"211","ISBN 1-56592-335-9","Oracle PL/SQL Programming","33","1997","Beijing","O\'Reilly","2","1","2","Feuerstein, Steven",""
"212","ISBN 80-7299-047-0","Rozprava proti metodě","430","2001","Praha","Aurora","1","1","1","Feyerabend, Paul K.",""
"220","ISBN 80-85896-78-8","Programování v jazyce JAVA","35","1997","Praha","Computer Press","1","1","1","Flanagan, David",""
"225","ISBN 80-7226-663-2","Jak získat a udržet zákazníka","117","2002","Praha","Computer Press","1","1","1","Foster, Timothy R. V.","Praxe managera"
"226","ISBN 80-7226-677-2","Macromedia Flash MX : podrobná příručka","355","2002","Praha","Computer Press","1","1","1","Fotr, Jiří",""
"227","ISBN 80-247-0299-1","Refaktoring : zlepšení existujícího kódu","394","2003","Praha","Grada","1","1","1","Fowler, Martin a kol.","Moderní programování"
"233","ISBN 80-86815-24-2","RAW s programem Adobe Photoshop CS","248","2005","Brno","ZONER Press","1","1","1","Fraser, Bruce","Encyklopedie - grafika a digitální fotografie"
"238","ISBN 80-85927-13-6","Anglicko-český slovník : s nejnovějšími výrazy","1204","1996","Voznice","LEDA","1","1","1","Fronek, Josef",""
"239","ISBN 80-85927-54-3","Velký česko-anglický slovník : Comprehensive Czech-English dictionary","1597","2000","Voznice","LEDA","1","1","1","Fronek, Josef",""
"240","ISBN 80-247-1278-4","Podniková informatika: počítačové aplikace vpodnikové a mezipodnikové praxi, technologie informačních systémů, řízení a rozvoj podnikové informatiky","482","2006","Praha","Grada","1","1","1","Gála, Libor -- Pour, Jan","Management v informační společnosti"
"242","ISBN 80-7226-054-5","PGP: Pretty Good Privacy - šifrování pro každého","31","1998","Praha","Computer Press","1","1","1","Garfinkel, Simson",""
"246","ISBN 0-19-457470-9","Basic English for computing","136","2003","Oxford","Oxford University Press","","1","2","Glendinning, Eric H -- McEwan, John",""
"249","ISBN 80-251-1019-2","Hardwarová rozhraní : průvodce programátora","463","2006","Brno","Computer Press","1","1","1","Gook, Michael",""
"255","ISBN 80-247-0641-5","Administrace systému Linux : podrobný průvodce začínajícího uživatele","550","2003","Praha","Grada","2","1","1","Graham, Steven -- Shah, Steve",""
"258","ISBN 978-80-86815-85-5","SEO : Search Engine Optimization : ovládněte SEO a získejte výhodu před konkurencí : optimalizujte své webové stránky pro vyhledávací servery : přiveďte na své stránky zákazníky dříve, než to udělá konkurence","328","2007","Brno","Zoner Press","1","1","1","Grappone, Jennifer -- Couzin, Gradiva","Encyklopedie webdesignera"
"259","ISBN 80-902824-1-5","Profesionální design na webu","223","2000","Brno","SoftPress","","1","1","Gray, Daniel",""
"260","ISBN 0-748-40954-8","Online GIS and spatial metadata","222","2002","London","Taylor & Francis","","1","2","Green, David -- Bossomaier, Terry Richard John",""
"261","ISBN 1-879102-87-0","Open Access : GIS in e-Government","110","2001","Redlands","ESRI Press","1","1","2","Greene, R.W.",""
"264","ISBN 80-7226-135-5","Intranety : Principy a praxe","20","1999","Praha","Computer Press","1","1","1","Greer, Tyson",""
"265","ISBN 80-7300-099-7","HTML, CSS a JavaScript : referenční příručka","157","2002","Praha","BEN","1","1","1","Gröpl, Tomáš",""
"269","ISBN 1-56592-419-3","CGI Programming with Perl","15","2000","Beijing","O\'Reilly","2","1","2","Guelich, Scott -- Gundavaram, Shishir",""
"270","ISBN 80-7226-985-2","Velká kniha MIDI : standardy, hardware, software","340","2004","Brno","Computer Press","1","1","1","Guérin, Robert",""
"271","ISBN 80-7226088-X","CGI programování webových stránek a aplikací","20","1998","Praha","Computer Press","1","1","1","Gundavaram, Shishir",""
"272","ISBN 1-56592-237-9","Oracle Performance Tuning","22","1996","Beijing","O\'Reilly","2","1","2","Gurry, Mark -- Corrigan, Peter",""
"273","ISBN 80-251-0799-X","Mistrovství v PHP 5","655","2005","Brno","CP Books","1","1","1","Gutmans, Andi -- Bakken, Stig Saether",""
"276","ISBN 80-7226-445-1","Microsoft Visual Basic 6.0 Professional : Krok za krokem","22","1999","Praha","Computer Press","1","1","1","Halvorson, Michael",""
"278","ISBN 978-0-596-10242-5","Fonts & encodings : [from unicode to advanced typography and everything in between ; covers PostScript, TrueType, OpenType, AAT, Metafont, and more]","1016","2007","Beijing","O\'Reilly","1","1","2","Haralambous, Yannis -- Horne, P. Scott",""
"281","ISBN 80-7226-799-X","Začínáme programovat v jazyce Python","456","2003","Brno","Computer Press","1","1","1","Harms, Daryl D. -- McDonald, Kenneth",""
"282","ISBN 0-7645-3199-9","XML Extensible Markup Language","23","1998","Foster City","IDG Books","","1","2","Harold, Elliotte Rusty",""
"284","ISBN 0-12-326428-6","Object-Oriented Database Design : Clearly Explained","13","2000","San Diego","Morgan Kaufmann","","1","2","Harrington, Jan L.",""
"285","ISBN 80-251-1243-8","Programujeme aplikace pro Symbian OS v jazyce C++","407","2006","Brno","Computer Press","1","1","1","Harrison, Richard",""
"287","ISBN 80-251-1117-2","HTML a CSS : velká kniha řešení","912","2006","Brno","Computer Press","1","1","1","Hauser, Marianne -- Hauser, Tobias",""
"288","ISBN 0-13-015390-7","Computer graphics with OpenGL","857","2004","Upper Saddle River","Pearson Prentice Hall","3","1","2","Hearn, Donald -- Baker, M. Pauline",""
"290","ISBN 80-247-0899-X","Myslíme v jazyku SQL - tvorba dotazů","378","2004","Praha","Grada Publishing","1","1","1","Hernandez, Michael J. -- Viescas, John L.","Myslíme v--"
"292","ISBN 80-251-0309-9","awk & sed : příručka pro dávkové zpracování textu","254","2004","Brno","Computer Press","1","1","1","Herold, Helmut",""
"296","ISBN 80-7226-272-6","Adobe Photoshop 5.0/5.5 : Referenční příručka","15","2000","Praha","Computer Press","1","1","1","Hlavenka, Jiří -- Hercik, Jaroslav",""
"297","ISBN 80-7226-371-4","Dělejte byznys na Internetu : Jak využít Internet k prospěchu firmy i jednotlivce","226","2001","Praha","Computer Press","1","1","1","Hlavenka, Jiří",""
"298","ISBN 80-7226-182-7","Dělejte byznys na Internetu: Jak využít Internet k prospěchu firmy ijednotlivce","205","1999","Praha","Computer Press","1","1","1","Hlavenka, Jiří",""
"302","ISBN 80-85896-09-5","QuarkXPress: Podrobná uživatelská příručka : verze 3.1x a 3.3 ZS/CZ pro Windows","6","1996","Praha","Computer Press","1","1","1","Hlavenka, Jiří",""
"303","ISBN 80-7226-023-5","Výkladový slovník výpočetní techniky a komunikací","452","1997","Praha","Computer Press","3","1","1","Hlavenka, Jiří",""
"304","ISBN 80-85896-86-9","Windows NT 4.0 Workstation - Uživatelská příručka","7","1996","Praha","Computer Press","1","1","1","Hlavenka, Jiří",""
"305","ISBN 80-85896-53-2","Windows 95 - Podrobná referenční příručka","310","1996","Praha","Computer Press","2","1","1","Hlavenka, Jiří",""
"307","ISBN 80-85896-44-3","Anglicko-česká terminologie bezpečnosti informačních technologií","95","1996","Praha","Computer Press","1","1","1","Hoenigová, Alena -- Matyáš, Václav - ml.",""
"308","ISBN 80-85986-01-9","Počítačová grafika a animace","86","1995","Praha","Vogel Publishing","1","1","1","Hofman, David",""
"309","ISBN 80-7226-756-6","1001 tipů a triků pro WWW stránky","402","2003","Brno","Computer Press","1","1","1","Holčík, Tomáš a kol.",""
"310","ISBN 0-13-140374-5","Definitive XSL-F0","455","2003","Upper Saddle River","Prentice Hall","","1","2","Holman, Ken G.",""
"311","ISBN 1-56276-208-7","Jak pracují multimédia","198","1995","Brno","UNIS","","1","1","Holsinger, Erik",""
"312","ISBN 80-86593-40-1","JavaScript : profesionálně","1071","2003","Brno","Mobil Media","1","1","1","Holzner, Steven",""
"317","ISBN 80-7226-553-9","Hardware : Učebnice pro každého","6","2001","Praha","Computer Press","1","1","1","Horák, Jaroslav",""
"318","ISBN 978-80-251-1741-5","Hardware : učebnice pro pokročilé","360","2007","Brno","Computer Press","4","1","1","Horák, Jaroslav",""
"319","ISBN 80-247-0447-1","Strategický marketing","200","2003","Praha","Grada Publishing","2","1","1","Horáková, Helena",""
"321","ISBN 80-7169-340-5","Od DTP k PRE-PRESSU : Průvodce světem tvorby dokumentů","311","1997","Praha","Grada Publishing","1","1","1","Horný, Stanislav",""
"326","ISBN 80-85850-58-3","Sociologie vědění : základní koncepce a paradigmata","224","1999","Praha","Sociologické nakladatelství","1","1","1","Hubík, Stanislav","Základy sociologie"
"328","ISBN 978-80-247-1848-4","Šokující digitální fotografie : [příručka fotografa pro tvorbu digitálních triků a efektů]","192","2007","Praha","Grada","1","1","1","Huggins, Barry -- Probert, Ian",""
"329","ISBN 80-7226-560-1","Data warehousing : návrh a implementace","257","2001","Praha","Computer Press","1","1","2","Humphries, Mark","Profi"
"330","ISBN 80-7226-024-3","Konfigurace a správa sítí TCP/IP","16","1997","Praha","Computer Press","1","1","1","Hunt, Craig",""
"333","ISBN 978-80-7263-481-1","Zákoník práce a související ustanovení občanského zákoníku : s podrobným komentářem k 1.9.2008","943","2008","Olomouc","Anag","1","1","1","Hůrka, Petr a kol.",""
"334","ISBN 80-251-1180-6","Zranitelný kód","207","2006","Brno","Computer Press","1","1","1","Huseby, Sverre H.",""
"335","ISBN 0-256-07485-2","Modern Microeconomics : Analysis and Applications","","1989","Homewood","Irwin","2","1","2","Hyman, David N.",""
"336","ISBN 80-7238-070-2","Anglicko-český a česko-anglický slovník výpočetní techniky a informačních: technologií","518","2000","Plzeň","FRAUS","1","1","1","Hynek, Jiří -- Vítkovský, Radmil","Speciál"
"337","ISBN 978-80-7238-640-6","Fraus praktický technický slovník : anglicko-český, česko-anglický","471","2007","Plzeň","Fraus","1","1","1","Hynek, Jiří",""
"339","ISBN 0-201-84452-4","XML data management : native XML and XML-enabled database systems","641","2003","Boston","Addison-Wesley","","1","2","Chaudhri, Akmal B",""
"340","ISBN 1591405416","Adaptable and adaptive hypermedia systems","342","2005","Hershey, PA","IRM Press","","1","2","Chen, Sherry Y",""
"343","ISBN 978-80-247-1369-4","Metody pedagogického výzkumu : základy kvantitativního výzkumu","265","2007","Praha","Grada","1","1","1","Chráska, Miroslav",""
"345","ISBN 80-7261-007-4","Logistika v marketingu","166","2000","Praha","Management Press","1","1","1","Christopher, Martin",""
"346","ISBN 80-7226-519-9","Macromedia Flash 5 pro pokročilé","416","2001","Praha","Computer Press","1","1","1","Chun, Russell","Rychle a jistě"
"349","ISBN 80-86419-49-5","Modely hodnocení efektivnosti produkčních jednotek","183","2004","Praha","Professional Publishing","1","1","1","Jablonský, Josef -- Dlouhý, Martin",""
"355","ISBN 0-201-87686-8","Introduction to Expert Systems","17","1999","Harlow","Addison Wesley Longman","3","1","2","Jakson, Peter",""
"356","ISBN 80-85896-64-8","Moderní počítačové viry : Podstata, prevence a ochrana","9","1996","Praha","Computer Press","1","1","1","Jaluvka, Josef",""
"358","ISBN 80-7169-282-4","Systémy automatické identifikace","124","1996","Praha","Grada Publishing","1","1","1","Ježek, Vladimír",""
"359","ISBN 80-85623-82-X","Tvorba aplikací v objektovém prostředí","323","1994","Praha","Grada","","1","1","Jilková, Helena -- Ryant, Ivan",""
"360","ISBN 80-251-0843-0","Kytara a počítač : využíváme efekty a hudební programy při hraní, aranžování a skládání","294","2005","Brno","Computer Press","1","1","1","Jirásek, Ondřej",""
